#  time  position  equilibrium_position  force_constant(kJ mol^-1 distance^-2)
     12918      2.58473             2.5                         500
     12938      2.40069             2.5                         500
     12958      2.45591             2.5                         500
     12978      2.61717             2.5                         500
     12998      2.55752             2.5                         500
     13018      2.46692             2.5                         500
     13038      2.44929             2.5                         500
     13058      2.47011             2.5                         500
     13078       2.5099             2.5                         500
     13098      2.48177             2.5                         500
     13118       2.5181             2.5                         500
     13138      2.41817             2.5                         500
     13158      2.56148             2.5                         500
     13178      2.38615             2.5                         500
     13198      2.49602             2.5                         500
     13218      2.44846             2.5                         500
     13238      2.45166             2.5                         500
